Resource,MaturityLevel,GroupName
CapabilityStatement,N,Foundation
StructureDefinition,N,Foundation
ImplementationGuide,1,Foundation
SearchParameter,3,Foundation
MessageDefinition,1,Foundation
OperationDefinition,N,Foundation
CompartmentDefinition,1,Foundation
StructureMap,2,Foundation
GraphDefinition,1,Foundation
ExampleScenario,0,Foundation
CodeSystem,N,Foundation
ValueSet,N,Foundation
ConceptMap,3,Foundation
NamingSystem,1,Foundation
TerminologyCapabilities,0,Foundation
Provenance,3,Foundation
AuditEvent,3,Foundation
Consent,2,Foundation
Composition,2,Foundation
DocumentManifest,2,Foundation
DocumentReference,3,Foundation
CatalogEntry,0,Foundation
Basic,1,Foundation
Binary,N,Foundation
Bundle,N,Foundation
Linkage,0,Foundation
MessageHeader,4,Foundation
OperationOutcome,N,Foundation
Parameters,N,Foundation
Subscription,3,Foundation
Patient,N,Base
Practitioner,3,Base
PractitionerRole,2,Base
RelatedPerson,2,Base
Person,2,Base
Group,1,Base
Organization,3,Base
OrganizationAffiliation,0,Base
HealthcareService,2,Base
Endpoint,2,Base
Location,3,Base
Substance,2,Base
BiologicallyDerivedProduct,0,Base
Device,2,Base
DeviceMetric,1,Base
Task,2,Base
Appointment,3,Base
AppointmentResponse,3,Base
Schedule,3,Base
Slot,3,Base
VerificationResult,0,Base
Encounter,2,Base
EpisodeOfCare,2,Base
Flag,1,Base
List,1,Base
Library,2,Base
AllergyIntolerance,3,Clinical
AdverseEvent,0,Clinical
Condition,3,Clinical
Procedure,3,Clinical
FamilyMemberHistory,2,Clinical
ClinicalImpression,0,Clinical
DetectedIssue,1,Clinical
Observation,N,Clinical
Media,1,Clinical
DiagnosticReport,3,Clinical
Specimen,2,Clinical
BodyStructure,1,Clinical
ImagingStudy,3,Clinical
QuestionnaireResponse,3,Clinical
MolecularSequence,1,Clinical
MedicationRequest,3,Clinical
MedicationAdministration,2,Clinical
MedicationDispense,2,Clinical
MedicationStatement,3,Clinical
Medication,3,Clinical
MedicationKnowledge,0,Clinical
Immunization,3,Clinical
ImmunizationEvaluation,0,Clinical
ImmunizationRecommendation,1,Clinical
CarePlan,2,Clinical
CareTeam,2,Clinical
Goal,2,Clinical
ServiceRequest,2,Clinical
NutritionOrder,2,Clinical
VisionPrescription,2,Clinical
RiskAssessment,1,Clinical
RequestGroup,2,Clinical
Communication,2,Clinical
CommunicationRequest,2,Clinical
DeviceRequest,1,Clinical
DeviceUseStatement,0,Clinical
GuidanceResponse,2,Clinical
SupplyRequest,1,Clinical
SupplyDelivery,1,Clinical
Coverage,2,Financial
CoverageEligibilityRequest,2,Financial
CoverageEligibilityResponse,2,Financial
EnrollmentRequest,0,Financial
EnrollmentResponse,0,Financial
Claim,2,Financial
ClaimResponse,2,Financial
Invoice,0,Financial
PaymentNotice,2,Financial
PaymentReconciliation,2,Financial
Account,2,Financial
ChargeItem,0,Financial
ChargeItemDefinition,0,Financial
Contract,1,Financial
ExplanationOfBenefit,2,Financial
InsurancePlan,0,Financial
ResearchStudy,1,Specialized
ResearchSubject,1,Specialized
ActivityDefinition,2,Specialized
DeviceDefinition,0,Specialized
EventDefinition,0,Specialized
ObservationDefinition,0,Specialized
PlanDefinition,2,Specialized
Questionnaire,3,Specialized
SpecimenDefinition,0,Specialized
ResearchDefinition,0,Specialized
ResearchElementDefinition,0,Specialized
Evidence,0,Specialized
EvidenceVariable,0,Specialized
EffectEvidenceSynthesis,0,Specialized
RiskEvidenceSynthesis,0,Specialized
Measure,2,Specialized
MeasureReport,2,Specialized
TestScript,2,Specialized
TestReport,0,Specialized
MedicinalProduct,0,Specialized
MedicinalProductAuthorization,0,Specialized
MedicinalProductContraindication,0,Specialized
MedicinalProductIndication,0,Specialized
MedicinalProductIngredient,0,Specialized
MedicinalProductInteraction,0,Specialized
MedicinalProductManufactured,0,Specialized
MedicinalProductPackaged,0,Specialized
MedicinalProductPharmaceutical,0,Specialized
MedicinalProductUndesirableEffect,0,Specialized
SubstanceNucleicAcid,0,Specialized
SubstancePolymer,0,Specialized
SubstanceProtein,0,Specialized
SubstanceReferenceInformation,0,Specialized
SubstanceSpecification,0,Specialized
SubstanceSourceMaterial,0,Specialized
