Table_name,Table_description,Field_name,Field_description,Mapping
Patient,This table relates the 1006 anonymous ID to the patient’s birth date and sex.,AnonymousID,Patient identifier,['Patient.identifier']
Patient,This table relates the 1006 anonymous ID to the patient’s birth date and sex.,Sex,Patient gender (i.e. M=Male and F=Female),['Patient.gender']
Patient,This table relates the 1006 anonymous ID to the patient’s birth date and sex.,BirthDate,Patient birthday,['Patient.birthDate']
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",AnonymousID,Patient identifier,['Patient.identifier']
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",AdmissionDate,Start date of the hospital stay,['Encounter.startDate']
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",DischargeDate,End date of the hospital stay,['Encounter.endDate']
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",FirstdeliveryRenewal,"If the hospital stay consists in either a first prosthetic provision or a renewal (i.e., FirstDeliv, Renewal)",['Encounter.hospitalization.reAdmission']
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",LengthOfStay,"Length of the hospital stay (i.e., number of days)",['Encounter.length']
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",AmputationDate,Amputation Date,['Procedure.occurence']
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",AmputationSide,Amputation Side (i.e. L=left or R=right),['Procedure.bodySite']
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",AmputationCause,"Cause of amputation (i.e. cancer, congenital, infectious, traumatic, vascular)",['Procedure.reason']
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",Height,Patient height (m),['Observation.value']
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",Weight,Patient weight (without prosthesis) (kg),['Observation.value']
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",PainControlateralLimb,010 Numerical Rating Scale of Pain,['Observation.value']
