Field_name,Field_description,Mapping
Hospitalization identifier,Unique encounter identifier,['Encounter.identifier']
Patient identifier,Unique patient identifier,['Patient.identifier']
Age,Admission age,['Patient.birthDate']
Gender,Admission gender,['Patient.gender']
Height,Patient height,['Observation']
Weight,Patient weight,['Observation']
Code status,CPR status,"['Communication.status', 'Condition']"
Code status date-time,Date-time of CPR status documentation,['Condition.evidence.detail']
Allergies,Medication allergies,"['AllergyIntolerance.code', 'AllergyIntolerance.category', 'AllergyIntolerance.type']"
Charlson,Charlson comorbidity index,['Observation.code']
Elixhauser,Elixhauser comorbidity index,['Observation.code']
SOFA Score,SOFA score during encounter,['Observation.code']
SIRS Criteria,SIRS criteria during encounter,['Observation.code']
APACHE II,Disease severity classification system,['Observation.code']
GCS,Glasgow Coma Scale Score,['Observation.code']
LODS,Logistic Organ Dysfunction System Score,['Observation.code']
MODS,Multiple Organ Dysfunction Score,['Observation.code']
NEWS,National Early Warning Score Modified,['Observation.code']
MEWS,Modified Early Warning Score,['Observation.code']
Admitting hospital,Hospital at admission,['Encounter.serviceProvider']
Admit time,date-time of admission,['Encounter.period']
Discharge time,date-time of discharge,['Encounter.period']
Unit,Unit discharge location,['Encounter.location']
Unit time,Date-time stamp with location,['Encounter.location.period']
Diagnosis Codes,ICD-9/10 diagnosis codes for encounter,['Encounter.diagnosis.condition']
Procedure codes,procedure codes for encounter,['Encounter.diagnosis.condition']
DRG code,DRG/Primary diagnosis for encounter,['Encounter.diagnosis.condition']
CPT codes,CPT codes for encounter,"['Encounter.diagnosis.condition', 'CarePlan.activity.progress']"
Temperature,Body temperature,['Observation.code']
HR,Heart Rate,['Observation.code']
RR,Respiratory Rate,['Observation.code']
SBP,Systolic Blood Pressure,['Observation.code']
DBP,Diastolic Blood Pressure,['Observation.code']
MAP,Mean Arterial Pressure,['Observation.code']
SpO2,Oxygen saturation,['Observation.code']
Bands,"Bands, neutrophil count",['DiagnosticReport.result']
CRP,Plasma C-Reactive Protein,['DiagnosticReport.result']
ESR,Erythrocyte Sedimentation,['DiagnosticReport.result']
WBC,White Blood Cell count,['DiagnosticReport.result']
Procalcitonin,Procalcitonin level,['DiagnosticReport.result']
PaO2,Partial pressure of oxygen in arterial blood,['DiagnosticReport.result']
PaCO2,Partial pressure of carbon dioxide in arterial blood,['DiagnosticReport.result']
PaO2:FI O2,partial pressure of oxygen to fraction of inspired oxygen ratio,['DiagnosticReport.result']
Lactate,arterial lactate level,['DiagnosticReport.result']
Troponin I,,['DiagnosticReport.result']
Troponin T,,['DiagnosticReport.result']
CK,Creatine Kinase,['DiagnosticReport.result']
BNP,Brain Natriuretic Peptide,['DiagnosticReport.result']
SvO2,Mixed venous oxygen saturation,['DiagnosticReport.result']
CI,Cardiac Index,['Observation.code']
CVP,Central Venous Pressure,['Observation.code']
EF,Left ventricular Ejection Fraction; echocardiogram,['DiagnosticReport.result']
TAPSE,Tricuspid Annular Plane Systolic Excursion; echocardiogram,"['Observation.code', 'DiagnosticReport.result']"
Diastolic dysfunction,Diastolic dysfunction Grade; echocardiogram,['DiagnosticReport.result']
BUN,Blood urea nitrogen,['DiagnosticReport.result']
Creatinine,Creatinine,['DiagnosticReport.result']
Bicarbonate,Bicarbonate,['DiagnosticReport.result']
Base excess,Base excess,['DiagnosticReport.result']
ALT,Alanine Transaminase,['DiagnosticReport.result']
AST,Aspartate Transaminase,['DiagnosticReport.result']
Total bilirubin,Total bilirubin,['DiagnosticReport.result']
Albumin level,Albumin level,['DiagnosticReport.result']
NH3,Ammonia level,['DiagnosticReport.result']
Hemoglobin,Hemoglobin,['DiagnosticReport.result']
Hematocrit,Hematocrit,['DiagnosticReport.result']
INR,International Normalized Ratio,['DiagnosticReport.result']
PT,Prothrombin,['DiagnosticReport.result']
aPTT,Activated Partial Thromboplastin Time,['DiagnosticReport.result']
R time,TEG,['DiagnosticReport.result']
K time,TEG,['DiagnosticReport.result']
Alpha angle,TEG,['DiagnosticReport.result']
Maximum amplitude,TEG,['DiagnosticReport.result']
Ly30,Lysis at 30 minutes,['DiagnosticReport.result']
